presTime,rep_idx,first_press,correct,p_id
10.0,1.0,1262.5714285714287,1.0,0
10.0,2.0,1039.5714285714287,1.0,0
10.0,3.0,965.4285714285713,1.0,0
10.0,4.0,1083.0,1.0,0
200.0,1.0,1439.571428571429,0.8571428571428571,0
200.0,2.0,1138.7142857142858,0.8571428571428571,0
200.0,3.0,1207.5714285714287,1.0,0
200.0,4.0,1166.857142857143,1.0,0
400.0,1.0,1289.4285714285713,0.8571428571428571,0
400.0,2.0,1268.1666666666667,0.8571428571428571,0
400.0,3.0,1266.857142857143,1.0,0
400.0,4.0,1218.5714285714287,1.0,0
600.0,1.0,1421.2857142857142,0.8571428571428571,0
600.0,2.0,1443.857142857143,1.0,0
600.0,3.0,1472.0,1.0,0
600.0,4.0,1507.2857142857142,0.7142857142857143,0
10.0,1.0,1600.571428571429,1.0,1
10.0,2.0,1316.857142857143,1.0,1
10.0,3.0,1236.4285714285713,0.8571428571428571,1
10.0,4.0,1332.142857142857,1.0,1
200.0,1.0,1707.142857142857,1.0,1
200.0,2.0,1397.428571428571,1.0,1
200.0,3.0,1250.0,1.0,1
200.0,4.0,1182.0,1.0,1
400.0,1.0,1622.857142857143,0.7142857142857143,1
400.0,2.0,1361.142857142857,0.8571428571428571,1
400.0,3.0,1210.0,0.8571428571428571,1
400.0,4.0,1250.4285714285713,1.0,1
600.0,1.0,1794.2857142857142,0.5714285714285714,1
600.0,2.0,1378.857142857143,1.0,1
600.0,3.0,1495.428571428571,0.7142857142857143,1
600.0,4.0,1451.7142857142858,1.0,1
10.0,1.0,1773.428571428571,0.5714285714285714,2
10.0,2.0,936.4285714285713,1.0,2
10.0,3.0,928.0,1.0,2
10.0,4.0,969.2857142857144,1.0,2
200.0,1.0,1213.2857142857142,1.0,2
200.0,2.0,1032.0,1.0,2
200.0,3.0,1169.6666666666667,0.8571428571428571,2
200.0,4.0,1203.6666666666667,0.8571428571428571,2
400.0,1.0,1106.8,0.7142857142857143,2
400.0,2.0,1438.142857142857,0.8571428571428571,2
400.0,3.0,1157.7142857142858,1.0,2
400.0,4.0,1464.166666666667,0.8571428571428571,2
600.0,1.0,1455.2,0.5714285714285714,2
600.0,2.0,1328.7142857142858,1.0,2
600.0,3.0,1291.4285714285713,1.0,2
600.0,4.0,1417.571428571429,0.8571428571428571,2
10.0,1.0,1074.7142857142858,1.0,3
10.0,2.0,1012.5,0.8571428571428571,3
10.0,3.0,1018.7142857142856,0.8571428571428571,3
10.0,4.0,929.5714285714287,1.0,3
200.0,1.0,1005.0,1.0,3
200.0,2.0,1084.0,1.0,3
200.0,3.0,1053.4285714285713,0.7142857142857143,3
200.0,4.0,947.2857142857144,1.0,3
400.0,1.0,1143.5714285714287,0.8571428571428571,3
400.0,2.0,1046.4285714285713,0.8571428571428571,3
400.0,3.0,1275.4285714285713,0.8571428571428571,3
400.0,4.0,1154.4285714285713,0.8571428571428571,3
600.0,1.0,1222.2857142857142,0.8571428571428571,3
600.0,2.0,1266.142857142857,1.0,3
600.0,3.0,1410.571428571429,0.7142857142857143,3
600.0,4.0,1311.4285714285713,0.8571428571428571,3
10.0,1.0,876.2857142857142,1.0,4
10.0,2.0,1192.4285714285713,1.0,4
10.0,3.0,827.7142857142858,1.0,4
10.0,4.0,877.2857142857142,1.0,4
200.0,1.0,1094.2857142857142,1.0,4
200.0,2.0,1044.5714285714287,1.0,4
200.0,3.0,1203.0,1.0,4
200.0,4.0,899.7142857142858,1.0,4
400.0,1.0,1593.7142857142858,1.0,4
400.0,2.0,1183.142857142857,1.0,4
400.0,3.0,1037.2857142857142,1.0,4
400.0,4.0,1045.7142857142858,1.0,4
600.0,1.0,1684.7142857142858,1.0,4
600.0,2.0,1499.857142857143,1.0,4
600.0,3.0,1176.142857142857,1.0,4
600.0,4.0,1423.333333333333,0.8571428571428571,4
10.0,1.0,1090.857142857143,1.0,5
10.0,2.0,986.2857142857144,1.0,5
10.0,3.0,847.1428571428571,1.0,5
10.0,4.0,776.5714285714287,1.0,5
200.0,1.0,1064.0,1.0,5
200.0,2.0,1205.857142857143,0.8571428571428571,5
200.0,3.0,907.8571428571428,1.0,5
200.0,4.0,865.7142857142858,1.0,5
400.0,1.0,1209.4285714285713,1.0,5
400.0,2.0,1014.1428571428572,1.0,5
400.0,3.0,961.8571428571428,1.0,5
400.0,4.0,968.2857142857144,1.0,5
600.0,1.0,1312.5714285714287,1.0,5
600.0,2.0,1205.0,1.0,5
600.0,3.0,1210.2857142857142,1.0,5
600.0,4.0,1216.0,1.0,5
10.0,1.0,1296.0,1.0,6
10.0,2.0,984.2857142857144,1.0,6
10.0,3.0,1184.142857142857,0.7142857142857143,6
10.0,4.0,1151.857142857143,0.8571428571428571,6
200.0,1.0,1660.0,1.0,6
200.0,2.0,1089.2857142857142,1.0,6
200.0,3.0,1065.2857142857142,1.0,6
200.0,4.0,1097.7142857142858,1.0,6
400.0,1.0,1556.0,1.0,6
400.0,2.0,1208.0,1.0,6
400.0,3.0,1236.5714285714287,1.0,6
400.0,4.0,1058.857142857143,1.0,6
600.0,1.0,1442.571428571429,1.0,6
600.0,2.0,1404.428571428571,1.0,6
600.0,3.0,1503.857142857143,1.0,6
600.0,4.0,1258.7142857142858,1.0,6
10.0,1.0,870.6666666666665,0.8571428571428571,7
10.0,2.0,928.5,0.8571428571428571,7
10.0,3.0,794.8571428571429,1.0,7
10.0,4.0,895.5714285714287,1.0,7
200.0,1.0,1025.142857142857,1.0,7
200.0,2.0,1005.0,1.0,7
200.0,3.0,994.0,1.0,7
200.0,4.0,881.8571428571429,1.0,7
400.0,1.0,1125.0,1.0,7
400.0,2.0,1166.857142857143,1.0,7
400.0,3.0,1084.4285714285713,1.0,7
400.0,4.0,1054.7142857142858,1.0,7
600.0,1.0,1304.5714285714287,1.0,7
600.0,2.0,1197.7142857142858,1.0,7
600.0,3.0,1252.5714285714287,1.0,7
600.0,4.0,1154.4285714285713,1.0,7
10.0,1.0,1095.0,1.0,8
10.0,2.0,1649.7142857142858,0.8571428571428571,8
10.0,3.0,1403.142857142857,1.0,8
10.0,4.0,1196.4285714285713,1.0,8
200.0,1.0,1196.4285714285713,0.7142857142857143,8
