presTime,rep_idx,first_press,correct,p_id
10.0,1.0,1373.142857142857,0.5,0
10.0,2.0,1366.5714285714287,0.7857142857142857,0
10.0,3.0,1650.2857142857142,0.14285714285714285,0
10.0,4.0,1700.428571428571,0.07142857142857142,0
600.0,1.0,1494.857142857143,0.8571428571428571,0
600.0,2.0,1439.428571428571,0.6428571428571429,0
600.0,3.0,1524.2142857142858,0.8571428571428571,0
600.0,4.0,1288.2142857142858,1.0,0
10.0,1.0,1057.5,1.0,1
10.0,2.0,1224.7857142857142,0.8571428571428571,1
10.0,3.0,1153.5714285714287,0.9285714285714286,1
10.0,4.0,1115.142857142857,0.9285714285714286,1
600.0,1.0,1419.5,0.8571428571428571,1
600.0,2.0,1419.642857142857,0.7857142857142857,1
600.0,3.0,1477.0,0.8571428571428571,1
600.0,4.0,1418.5,0.8571428571428571,1
10.0,1.0,1354.2142857142858,0.7857142857142857,2
10.0,2.0,1196.857142857143,0.8571428571428571,2
10.0,3.0,1282.0,0.8571428571428571,2
10.0,4.0,1064.857142857143,0.8571428571428571,2
600.0,1.0,1577.428571428571,0.9285714285714286,2
600.0,2.0,1581.7857142857142,0.9285714285714286,2
600.0,3.0,1349.857142857143,0.9285714285714286,2
600.0,4.0,1342.357142857143,0.9285714285714286,2
10.0,1.0,756.2142857142858,0.9285714285714286,3
10.0,2.0,766.3571428571429,1.0,3
10.0,3.0,676.1428571428571,0.9285714285714286,3
10.0,4.0,677.8571428571429,1.0,3
600.0,1.0,1292.142857142857,1.0,3
600.0,2.0,1234.2857142857142,1.0,3
600.0,3.0,1198.7142857142858,0.8571428571428571,3
600.0,4.0,1361.4285714285713,0.7857142857142857,3
10.0,1.0,685.0714285714286,1.0,4
10.0,2.0,727.2142857142858,0.9285714285714286,4
10.0,3.0,695.5714285714287,1.0,4
10.0,4.0,669.2857142857142,1.0,4
400.0,1.0,1251.7857142857142,0.9285714285714286,4
400.0,2.0,1244.2142857142858,0.8571428571428571,4
400.0,3.0,1206.357142857143,0.9285714285714286,4
400.0,4.0,1082.642857142857,0.9285714285714286,4
10.0,1.0,1667.7857142857142,0.9285714285714286,5
10.0,2.0,1086.0,0.9285714285714286,5
10.0,3.0,943.0,0.9285714285714286,5
10.0,4.0,983.8571428571428,0.9285714285714286,5
600.0,1.0,1684.642857142857,0.9285714285714286,5
600.0,2.0,1412.928571428571,1.0,5
600.0,3.0,1386.142857142857,0.9285714285714286,5
600.0,4.0,1349.142857142857,0.9285714285714286,5
10.0,1.0,1733.428571428571,0.9285714285714286,6
10.0,2.0,1463.7142857142858,0.8571428571428571,6
10.0,3.0,1328.5,0.8571428571428571,6
10.0,4.0,1276.5714285714287,1.0,6
400.0,1.0,1517.642857142857,1.0,6
400.0,2.0,1702.071428571429,0.9285714285714286,6
400.0,3.0,1722.642857142857,1.0,6
400.0,4.0,1514.2142857142858,0.9285714285714286,6
10.0,1.0,909.0714285714287,1.0,7
10.0,2.0,1070.357142857143,1.0,7
10.0,3.0,960.0,1.0,7
10.0,4.0,846.4285714285713,1.0,7
400.0,1.0,1191.2142857142858,0.9285714285714286,7
400.0,2.0,1205.0714285714287,1.0,7
400.0,3.0,1159.7857142857142,0.9285714285714286,7
400.0,4.0,1177.2857142857142,1.0,7
10.0,1.0,930.3571428571428,0.9285714285714286,8
10.0,2.0,896.9285714285713,1.0,8
10.0,3.0,840.2142857142858,1.0,8
10.0,4.0,909.9285714285713,1.0,8
200.0,1.0,1159.9285714285713,1.0,8
