presTime,rep_idx,first_press,correct,p_id
10.0,1.0,1228.142857142857,1.0,0
10.0,2.0,1159.5714285714287,1.0,0
10.0,3.0,1040.0,1.0,0
10.0,4.0,895.2857142857142,1.0,0
200.0,1.0,1363.0,1.0,0
200.0,2.0,1292.4285714285713,1.0,0
200.0,3.0,1152.4285714285713,1.0,0
200.0,4.0,973.5714285714287,1.0,0
400.0,1.0,1326.5714285714287,1.0,0
400.0,2.0,1374.142857142857,1.0,0
400.0,3.0,1114.4285714285713,1.0,0
400.0,4.0,1095.142857142857,1.0,0
600.0,1.0,1370.7142857142858,0.8571428571428571,0
600.0,2.0,1429.857142857143,1.0,0
600.0,3.0,1249.7142857142858,1.0,0
600.0,4.0,1223.4285714285713,1.0,0
10.0,1.0,1494.428571428571,0.7142857142857143,1
10.0,2.0,1196.4285714285713,0.7142857142857143,1
10.0,3.0,1550.833333333333,0.8571428571428571,1
10.0,4.0,1366.2857142857142,0.8571428571428571,1
200.0,1.0,1648.333333333333,0.42857142857142855,1
200.0,2.0,1313.5714285714287,0.8571428571428571,1
200.0,3.0,1604.7142857142858,1.0,1
200.0,4.0,1584.0,0.5714285714285714,1
400.0,1.0,1769.833333333333,0.7142857142857143,1
400.0,2.0,1740.0,0.7142857142857143,1
400.0,3.0,1752.857142857143,0.8571428571428571,1
400.0,4.0,1760.142857142857,0.7142857142857143,1
600.0,1.0,1845.142857142857,0.8571428571428571,1
600.0,2.0,1741.428571428571,0.8571428571428571,1
600.0,3.0,1740.7142857142858,0.7142857142857143,1
600.0,4.0,1727.571428571429,0.8571428571428571,1
10.0,1.0,960.7142857142856,1.0,2
10.0,2.0,835.4285714285713,1.0,2
10.0,3.0,660.4285714285714,1.0,2
10.0,4.0,703.2857142857142,1.0,2
200.0,1.0,1089.0,1.0,2
200.0,2.0,940.8571428571428,1.0,2
200.0,3.0,847.0,1.0,2
200.0,4.0,874.8571428571429,1.0,2
400.0,1.0,1175.0,1.0,2
400.0,2.0,1176.857142857143,0.8571428571428571,2
400.0,3.0,972.0,1.0,2
400.0,4.0,990.7142857142856,1.0,2
600.0,1.0,1387.428571428571,1.0,2
600.0,2.0,1125.142857142857,0.8571428571428571,2
600.0,3.0,1195.142857142857,1.0,2
600.0,4.0,1218.7142857142858,0.8571428571428571,2
10.0,1.0,1430.0,1.0,3
10.0,2.0,1347.0,1.0,3
10.0,3.0,1204.0,0.8571428571428571,3
10.0,4.0,1136.0,1.0,3
200.0,1.0,1259.857142857143,0.8571428571428571,3
200.0,2.0,1409.857142857143,0.8571428571428571,3
200.0,3.0,1058.5714285714287,1.0,3
200.0,4.0,1074.7142857142858,0.8571428571428571,3
400.0,1.0,1391.142857142857,0.7142857142857143,3
400.0,2.0,1489.0,0.7142857142857143,3
400.0,3.0,1286.0,0.8571428571428571,3
400.0,4.0,1245.4285714285713,0.7142857142857143,3
600.0,1.0,1583.142857142857,1.0,3
600.0,2.0,1573.142857142857,1.0,3
600.0,3.0,1491.857142857143,1.0,3
600.0,4.0,1421.571428571429,1.0,3
10.0,1.0,1682.2857142857142,0.8571428571428571,4
10.0,2.0,1159.4285714285713,0.2857142857142857,4
10.0,3.0,1282.7142857142858,0.7142857142857143,4
10.0,4.0,973.7142857142856,0.8571428571428571,4
200.0,1.0,1468.2857142857142,0.8571428571428571,4
200.0,2.0,1371.5,0.2857142857142857,4
200.0,3.0,1371.857142857143,0.5714285714285714,4
200.0,4.0,1249.5714285714287,0.8571428571428571,4
400.0,1.0,1628.0,0.7142857142857143,4
400.0,2.0,1637.428571428571,0.2857142857142857,4
400.0,3.0,1372.4285714285713,0.14285714285714285,4
400.0,4.0,1296.857142857143,0.5714285714285714,4
600.0,1.0,1616.571428571429,0.8571428571428571,4
600.0,2.0,1896.857142857143,0.2857142857142857,4
600.0,3.0,1498.7142857142858,0.42857142857142855,4
600.0,4.0,1549.857142857143,0.2857142857142857,4
10.0,1.0,1215.7142857142858,1.0,5
10.0,2.0,1183.0,1.0,5
10.0,3.0,1196.7142857142858,1.0,5
10.0,4.0,1345.5714285714287,1.0,5
200.0,1.0,1111.142857142857,1.0,5
200.0,2.0,1089.5714285714287,1.0,5
200.0,3.0,1155.7142857142858,0.5714285714285714,5
200.0,4.0,1052.142857142857,0.8571428571428571,5
400.0,1.0,1237.0,1.0,5
400.0,2.0,1198.5714285714287,1.0,5
400.0,3.0,1470.0,1.0,5
400.0,4.0,1359.4285714285713,0.8571428571428571,5
600.0,1.0,1319.142857142857,1.0,5
600.0,2.0,1299.857142857143,1.0,5
600.0,3.0,1379.666666666667,0.42857142857142855,5
600.0,4.0,1498.7142857142858,0.7142857142857143,5
10.0,1.0,911.5714285714287,1.0,6
10.0,2.0,880.1428571428571,1.0,6
10.0,3.0,807.0,1.0,6
10.0,4.0,919.7142857142856,1.0,6
200.0,1.0,899.5714285714287,1.0,6
200.0,2.0,878.8571428571429,1.0,6
200.0,3.0,891.4285714285713,1.0,6
200.0,4.0,888.7142857142858,1.0,6
400.0,1.0,1052.0,1.0,6
400.0,2.0,1020.7142857142856,1.0,6
400.0,3.0,1024.142857142857,1.0,6
400.0,4.0,1004.4285714285713,1.0,6
600.0,1.0,1197.142857142857,1.0,6
600.0,2.0,1210.857142857143,1.0,6
600.0,3.0,1139.2857142857142,1.0,6
600.0,4.0,1225.5714285714287,1.0,6
10.0,1.0,1396.428571428571,0.8571428571428571,7
10.0,2.0,1205.4285714285713,1.0,7
10.0,3.0,1094.0,1.0,7
10.0,4.0,1075.7142857142858,0.42857142857142855,7
