p_id,presTime,stim1,response,correct
11,4500.0,roho,soul,1.0
11,3000.0,buu,maggot,1.0
11,6000.0,tumbili,monkey,1.0
11,4500.0,elimu,science,1.0
11,1500.0,ndoo,bucket,1.0
11,3000.0,godoro,mattress,1.0
11,1500.0,yai,egg,1.0
11,10.0,mbwa,dog,1.0
11,6000.0,pombe,beer,1.0
11,6000.0,usingizi,sleep,1.0
11,1500.0,goti,knee,1.0
11,4500.0,kaa,crab,1.0
11,1500.0,lulu,pearl,1.0
11,10.0,nyanya,tomato,1.0
11,4500.0,wingu,cloud,1.0
11,10.0,fagio,broom,1.0
11,10.0,dafina,hmmm,0.0
11,3000.0,rembo,ornament,1.0
11,6000.0,zulia,carpet,1.0
11,3000.0,wasaa,leisure,1.0
2,4500.0,ndoo,bucket,1.0
2,1500.0,wingu,cloud,1.0
2,1500.0,zulia,carpet,1.0
2,6000.0,roho,soul,1.0
2,3000.0,yai,egg,1.0
2,1500.0,lulu,pearl,1.0
2,4500.0,godoro,mattress,1.0
2,10.0,mbwa,dog,1.0
2,10.0,nyanya,tomato,1.0
2,3000.0,dafina,treasure,1.0
2,6000.0,rembo,ornament,1.0
2,10.0,buu,egg,0.0
2,3000.0,kaa,crab,1.0
2,10.0,goti,knee,1.0
2,4500.0,wasaa,leisure,1.0
2,3000.0,elimu,science,1.0
2,4500.0,usingizi,sleep,1.0
2,1500.0,pombe,beer,1.0
2,6000.0,tumbili,monkey,1.0
2,6000.0,fagio,broom,1.0
19,3000.0,yai,egg,1.0
19,3000.0,roho,soul,1.0
19,4500.0,mbwa,dog,1.0
19,10.0,kaa,bucket,0.0
19,10.0,rembo,ornament,1.0
19,10.0,zulia,carpet,1.0
19,4500.0,godoro,mattress,1.0
19,1500.0,tumbili,monkey,1.0
19,1500.0,pombe,beer,1.0
19,6000.0,buu,maggot,1.0
19,6000.0,fagio,broom,1.0
19,6000.0,usingizi,sleep,1.0
19,1500.0,lulu,pearl,1.0
19,4500.0,ndoo,bucket,1.0
19,1500.0,goti,knee,1.0
19,3000.0,wasaa,leisure,1.0
19,6000.0,dafina,treasure,1.0
19,10.0,elimu,science,1.0
19,4500.0,nyanya,tomato,1.0
19,3000.0,wingu,cloud,1.0
18,3000.0,dafina,mattress,0.0
18,4500.0,kaa,crab,1.0
18,6000.0,wingu,cloud,1.0
18,4500.0,mbwa,dog,1.0
18,10.0,roho,couch,0.0
18,3000.0,buu,egg,0.0
18,6000.0,elimu,monkey,0.0
18,1500.0,lulu,inspiration,0.0
18,6000.0,rembo,chair,0.0
18,10.0,godoro,mattress,1.0
18,10.0,zulia,clouds,0.0
18,3000.0,usingizi,sleep,1.0
18,1500.0,tumbili,monkey,1.0
18,3000.0,yai,egg,1.0
18,1500.0,pombe,beer,1.0
18,6000.0,goti,egg,0.0
18,1500.0,wasaa,drink,0.0
18,10.0,ndoo,bucket,1.0
18,4500.0,nyanya,tomato,1.0
18,4500.0,fagio,broom,1.0
8,6000.0,wingu,cloud,1.0
8,4500.0,dafina,bucket,0.0
8,3000.0,nyanya,tomato,1.0
8,10.0,buu,cabinet,0.0
8,4500.0,elimu,science,1.0
8,4500.0,mbwa,knee,0.0
8,10.0,rembo,mattress,0.0
8,10.0,roho,soul,1.0
8,3000.0,wasaa,lazy,0.0
8,10.0,kaa,crab,1.0
8,1500.0,goti,purple,0.0
8,3000.0,ndoo,beer,0.0
8,6000.0,zulia,cabinet,0.0
8,1500.0,usingizi,sleep,1.0
8,1500.0,godoro,dog,0.0
8,6000.0,pombe,beer,1.0
8,1500.0,lulu,pearl,1.0
8,4500.0,tumbili,table,0.0
8,3000.0,fagio,broom,1.0
8,6000.0,yai,egg,1.0
35,3000.0,zulia,carpet,1.0
35,4500.0,yai,egg,1.0
35,10.0,goti,knee,1.0
35,1500.0,pombe,beer,1.0
35,4500.0,rembo,ornament,1.0
35,1500.0,wingu,cloud,1.0
35,3000.0,mbwa,dog,1.0
35,4500.0,wasaa,leisure,1.0
35,1500.0,elimu,science,1.0
35,10.0,godoro,mattress,1.0
35,6000.0,usingizi,sleep,1.0
35,6000.0,fagio,broom,1.0
35,6000.0,tumbili,monkey,1.0
35,10.0,roho,mattress,0.0
35,4500.0,nyanya,tomato,1.0
35,10.0,ndoo,bucket,1.0
35,1500.0,lulu,pearl,1.0
35,3000.0,dafina,treasure,1.0
35,3000.0,kaa,crab,1.0
35,6000.0,buu,maggot,1.0
13,3000.0,goti,knee,1.0
13,6000.0,pombe,beer,1.0
13,4500.0,kaa,crab,1.0
13,10.0,dafina,treasure,1.0
13,1500.0,tumbili,mattress,0.0
13,4500.0,buu,carpet,0.0
13,4500.0,wingu,cloud,1.0
13,1500.0,mbwa,dog,1.0
13,10.0,lulu,carpet,0.0
13,4500.0,wasaa,leisure,1.0
13,1500.0,roho,mattress,0.0
13,6000.0,rembo,knee,0.0
13,6000.0,godoro,broom,0.0
13,6000.0,elimu,science,1.0
13,3000.0,usingizi,broom,0.0
13,3000.0,nyanya,cat,0.0
13,1500.0,zulia,carpet,1.0
13,10.0,yai,mattress,0.0
13,3000.0,fagio,carpet,0.0
13,10.0,ndoo,beer,0.0
7,6000.0,zulia,carpet,1.0
7,10.0,kaa,crab,1.0
7,6000.0,lulu,pearl,1.0
7,10.0,wingu,cloud,1.0
7,6000.0,goti,knee,1.0
7,6000.0,roho,soul,1.0
7,3000.0,rembo,ornament,1.0
7,4500.0,yai,egg,1.0
7,1500.0,nyanya,tomato,1.0
7,10.0,godoro,mattress,1.0
7,4500.0,tumbili,monkey,1.0
7,1500.0,ndoo,bucket,1.0
7,3000.0,pombe,beer,1.0
7,10.0,usingizi,sleep,1.0
7,4500.0,fagio,broom,1.0
7,4500.0,buu,maggot,1.0
7,1500.0,mbwa,dog,1.0
7,3000.0,wasaa,leisure,1.0
7,1500.0,dafina,treasure,1.0
7,3000.0,elimu,scienc,0.0
29,10.0,godoro,knee,0.0
29,3000.0,nyanya,science,0.0
29,4500.0,lulu,sleep,0.0
29,10.0,elimu,treasure,0.0
29,4500.0,zulia,egg,0.0
29,1500.0,wingu,pearl,0.0
29,6000.0,dafina,pearl,0.0
29,10.0,buu,monkey,0.0
29,1500.0,mbwa,crab,0.0
29,4500.0,goti,maggot,0.0
29,6000.0,ndoo,cloud,0.0
29,4500.0,yai,broom,0.0
29,3000.0,tumbili,mattres,0.0
