presTime,rep_idx,first_press,correct,p_id
10.0,1.0,1323.0,1.0,7
10.0,2.0,1200.25,1.0,7
10.0,3.0,1139.75,1.0,7
10.0,4.0,1005.75,1.0,7
10.0,5.0,854.5,1.0,7
1500.0,1.0,2526.5,1.0,7
1500.0,2.0,2130.5,0.75,7
1500.0,3.0,1942.25,1.0,7
1500.0,4.0,1199.0,1.0,7
1500.0,5.0,1260.75,1.0,7
3000.0,1.0,3652.5,1.0,7
3000.0,2.0,2933.0,1.0,7
3000.0,3.0,1515.0,1.0,7
3000.0,4.0,1201.75,1.0,7
3000.0,5.0,1088.75,1.0,7
4500.0,1.0,5253.0,1.0,7
4500.0,2.0,3185.5,1.0,7
4500.0,3.0,1126.0,1.0,7
4500.0,4.0,1288.25,1.0,7
4500.0,5.0,992.25,1.0,7
6000.0,1.0,6785.5,1.0,7
6000.0,2.0,5686.0,1.0,7
6000.0,3.0,3551.25,1.0,7
6000.0,4.0,1440.75,1.0,7
6000.0,5.0,972.25,1.0,7
10.0,1.0,1350.0,1.0,8
10.0,2.0,1258.5,1.0,8
10.0,3.0,1381.5,0.75,8
10.0,4.0,1287.5,1.0,8
10.0,5.0,1320.5,1.0,8
1500.0,1.0,2608.75,1.0,8
1500.0,2.0,2177.75,1.0,8
1500.0,3.0,2391.25,1.0,8
1500.0,4.0,1997.75,1.0,8
1500.0,5.0,2009.75,1.0,8
3000.0,1.0,4002.25,1.0,8
3000.0,2.0,3096.25,1.0,8
3000.0,3.0,3481.0,1.0,8
3000.0,4.0,3213.75,0.75,8
3000.0,5.0,3225.5,0.75,8
4500.0,1.0,5463.0,1.0,8
4500.0,2.0,3669.75,1.0,8
4500.0,3.0,4403.25,0.75,8
4500.0,4.0,3530.5,0.75,8
4500.0,5.0,3723.5,0.75,8
6000.0,1.0,6987.75,0.25,8
6000.0,2.0,3311.25,0.5,8
6000.0,3.0,4261.75,0.75,8
6000.0,4.0,4025.25,0.75,8
6000.0,5.0,2397.0,1.0,8
10.0,1.0,1833.5,1.0,9
10.0,2.0,1127.0,1.0,9
10.0,3.0,1180.75,1.0,9
10.0,4.0,1077.75,1.0,9
10.0,5.0,1047.5,1.0,9
1500.0,1.0,2638.25,1.0,9
1500.0,2.0,2382.75,1.0,9
1500.0,3.0,2440.0,1.0,9
1500.0,4.0,1571.75,0.75,9
1500.0,5.0,1375.25,1.0,9
3000.0,1.0,3952.25,1.0,9
3000.0,2.0,3563.25,1.0,9
3000.0,3.0,2462.25,1.0,9
3000.0,4.0,956.25,1.0,9
3000.0,5.0,2083.0,1.0,9
4500.0,1.0,5497.75,0.75,9
4500.0,2.0,4637.25,0.75,9
4500.0,3.0,3864.5,0.75,9
4500.0,4.0,3808.75,0.75,9
4500.0,5.0,3730.25,0.5,9
6000.0,1.0,5466.75,0.5,9
6000.0,2.0,6892.0,0.25,9
6000.0,3.0,6492.75,0.5,9
6000.0,4.0,4767.75,0.25,9
6000.0,5.0,4585.75,0.5,9
